08:54:39.763 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
08:54:42.641 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001741
08:54:42.666 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.003477
08:54:42.699 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.005156
08:54:42.716 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001511
08:54:42.736 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002007
08:54:42.754 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001412
08:54:42.776 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001767
08:54:42.799 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001848
08:54:42.820 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002178
08:54:42.842 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001624
08:54:42.864 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001490
08:54:42.883 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001785
08:54:42.899 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001364
08:54:42.915 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001489
08:54:42.931 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001817
08:54:42.948 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001680
08:54:42.963 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001410
08:54:42.979 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001279
08:54:42.994 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001316
08:54:43.009 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001325
08:54:43.027 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001318
08:54:43.045 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001711
08:54:43.062 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001643
08:54:43.079 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001429
08:54:43.095 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001642
08:54:43.112 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001489
08:54:43.127 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001200
08:54:43.142 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001312
08:54:43.157 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001455
08:54:43.171 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001239
08:54:43.186 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001223
08:54:43.201 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001230
08:54:43.216 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001467
08:54:43.231 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001630
08:54:43.246 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001188
08:54:43.262 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001173
08:54:43.278 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001434
08:54:43.293 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001350
08:54:43.308 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001553
08:54:43.323 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001248
08:54:43.336 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001118
08:54:43.354 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001494
08:54:43.370 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001388
08:54:43.387 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001690
08:54:43.405 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001426
08:54:43.422 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001252
08:54:43.439 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001261
08:54:43.457 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001564
08:54:43.474 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001624
08:54:43.490 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001565
08:54:43.506 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001541
08:54:43.522 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001315
08:54:43.540 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001779
08:54:43.557 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001446
08:54:43.573 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001507
08:54:43.589 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001389
08:54:43.604 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001167
08:54:43.621 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001302
08:54:43.637 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001356
08:54:43.653 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001376
08:54:43.669 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001218
08:54:43.685 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001401
08:54:43.701 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001350
08:54:43.717 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001570
08:54:43.734 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001414
08:54:43.755 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001688
08:54:43.774 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001677
08:54:43.789 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001136
08:54:43.804 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001200
08:54:43.820 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001333
08:54:43.837 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001428
08:54:43.852 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001520
08:54:43.870 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001417
08:54:43.888 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001894
08:54:43.909 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001552
08:54:43.927 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001810
08:54:43.943 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001507
08:54:43.960 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001449
08:54:43.981 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001758
08:54:43.999 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001519
08:54:44.017 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001785
