08:48:29 code=000 <NO-RESPONSE>
08:48:29 code=200 VERSION v1 | pod app-rolling-c6b94689b-t5db6
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-fh97d
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-fh97d
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-ssxdn
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-t5db6
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-554fm
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-554fm
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-554fm
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-t5db6
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-t5db6
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-ssxdn
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-fh97d
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-ssxdn
08:48:33 code=200 VERSION v1 | pod app-rolling-c6b94689b-fh97d
08:48:35 code=000 <NO-RESPONSE>
08:48:35 code=200 VERSION v1 | pod app-rolling-c6b94689b-fh97d
08:48:37 code=000 <NO-RESPONSE>
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:37 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:38 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-mcjql
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-ns2nk
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-5r7bn
08:48:39 code=200 VERSION v2 | pod app-rolling-846f554989-l5kzr
