08:55:23.704 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
08:55:24.153 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002101
08:55:24.173 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001824
08:55:24.193 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002348
08:55:24.216 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001954
08:55:24.238 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002175
08:55:24.269 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.003324
08:55:24.314 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.004540
08:55:24.374 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.005188
08:55:24.437 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.003169
08:55:24.474 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.003178
08:55:24.495 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002049
08:55:24.516 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001841
08:55:24.539 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002127
08:55:24.559 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002028
08:55:24.582 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002052
08:55:24.605 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002303
08:55:24.634 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002362
08:55:24.662 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003526
08:55:24.687 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002181
08:55:24.713 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002118
08:55:24.738 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002603
08:55:24.769 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002826
08:55:24.803 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002031
08:55:24.831 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002539
08:55:24.893 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002163
08:55:24.940 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.006230
08:55:24.964 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002226
08:55:24.986 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001827
08:55:25.007 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002883
08:55:25.028 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001914
08:55:25.047 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002283
08:55:25.069 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001759
08:55:25.089 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001921
08:55:25.114 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002292
08:55:25.132 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001522
08:55:25.152 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001973
08:55:25.172 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002283
08:55:25.193 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002507
08:55:25.216 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001549
08:55:25.249 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002133
08:55:25.270 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001751
08:55:25.335 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002278
08:55:25.437 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.004229
08:55:25.482 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002242
08:55:25.511 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002504
08:55:25.537 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002530
08:55:25.559 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001901
08:55:25.586 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002666
08:55:25.607 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001684
08:55:25.629 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002693
08:55:25.651 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002994
08:55:25.677 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002265
08:55:25.711 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002118
08:55:25.730 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001712
08:55:25.752 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.003252
08:55:25.774 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001774
08:55:25.796 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002069
08:55:25.817 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001829
08:55:25.838 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001655
08:55:25.863 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002696
08:55:25.889 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002682
08:55:25.911 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002612
08:55:25.940 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002074
08:55:25.963 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002066
08:55:25.989 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002124
08:55:26.030 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002468
08:55:26.063 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.003945
08:55:26.090 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002952
08:55:26.114 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.003162
08:55:26.137 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.003567
08:55:26.157 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002332
08:55:26.176 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001799
08:55:26.201 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002505
08:55:26.271 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.022746
08:55:26.316 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002800
08:55:26.349 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002809
08:55:26.384 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002663
08:55:26.434 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.003575
08:55:26.582 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.004780
08:55:26.634 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.014045
08:55:26.672 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002545
08:55:26.712 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.003007
08:55:26.733 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002096
08:55:26.755 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002180
08:55:26.785 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002863
08:55:26.815 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002259
08:55:26.836 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002002
08:55:26.857 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001992
08:55:26.878 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001852
08:55:26.898 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001680
08:55:26.932 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002752
08:55:26.970 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.003054
08:55:26.999 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002432
08:55:27.084 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.005163
08:55:27.162 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002216
08:55:27.186 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002302
08:55:27.217 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001556
08:55:27.248 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001766
08:55:27.267 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001540
08:55:27.285 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001742
08:55:27.302 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001439
08:55:27.323 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001253
08:55:27.384 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.004974
08:55:27.407 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001590
08:55:27.434 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001586
08:55:27.452 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001570
08:55:27.470 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001850
08:55:27.488 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001521
08:55:27.505 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001419
08:55:27.523 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001404
08:55:27.542 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001921
08:55:27.559 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001524
08:55:27.579 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001516
08:55:27.605 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001889
08:55:27.637 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002049
08:55:27.684 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002593
08:55:27.725 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002660
08:55:27.774 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.009391
08:55:27.810 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002790
08:55:27.910 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.008570
08:55:28.017 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.006164
08:55:28.048 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002285
08:55:28.140 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.004813
08:55:28.261 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.004498
08:55:28.457 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002882
08:55:28.570 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.012627
08:55:28.615 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.003569
08:55:28.678 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.003592
08:55:28.710 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002068
08:55:28.741 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.003030
08:55:28.887 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.034354
08:55:29.145 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.024239
08:55:29.250 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.006865
08:55:29.294 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002620
08:55:29.341 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.003245
08:55:29.372 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003525
08:55:29.402 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.003426
08:55:29.446 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.004321
08:55:29.487 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.004333
08:55:29.521 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.003118
08:55:29.571 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002258
08:55:29.601 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.004131
08:55:29.626 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.003289
08:55:29.674 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002116
08:55:29.698 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002715
08:55:29.721 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002015
08:55:29.746 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002074
08:55:29.768 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001841
08:55:29.791 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001755
08:55:29.814 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002003
08:55:29.839 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002436
08:55:29.862 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001965
08:55:29.886 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001915
08:55:29.912 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002814
08:55:29.938 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001759
08:55:29.963 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001777
08:55:30.002 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.004672
08:55:30.027 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001798
08:55:30.049 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002585
08:55:30.073 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001741
08:55:30.101 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002157
08:55:30.128 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002184
08:55:30.156 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002499
08:55:30.180 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002350
08:55:30.205 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002103
08:55:30.234 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002380
08:55:30.256 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001918
08:55:30.278 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001808
08:55:30.302 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002041
08:55:30.327 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001951
08:55:30.355 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001974
08:55:30.379 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001791
08:55:30.403 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002268
08:55:30.425 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001761
08:55:30.445 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001649
08:55:30.466 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001721
08:55:30.492 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001806
08:55:30.521 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002184
08:55:30.542 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001781
08:55:30.565 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001625
08:55:30.586 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001655
08:55:30.609 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001849
08:55:30.632 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001776
08:55:30.654 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001922
08:55:30.676 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001798
08:55:30.696 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001709
08:55:30.718 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001847
08:55:30.740 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001695
08:55:30.769 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002432
08:55:30.805 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002502
08:55:30.833 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002125
08:55:30.855 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001880
08:55:30.876 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001748
08:55:30.897 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001837
08:55:30.920 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001899
08:55:30.941 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001752
08:55:30.961 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001518
08:55:30.983 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002039
08:55:31.003 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001559
08:55:31.025 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001732
08:55:31.045 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002044
08:55:31.067 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001824
08:55:31.087 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001797
08:55:31.107 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002242
08:55:31.129 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002254
08:55:31.151 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001992
08:55:31.171 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002041
08:55:31.191 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002079
08:55:31.213 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001970
08:55:31.252 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002269
08:55:31.285 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002162
08:55:31.313 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001793
08:55:31.334 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001748
08:55:31.354 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001635
08:55:31.374 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001816
08:55:31.394 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001603
08:55:31.414 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002143
08:55:31.435 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001735
