08:53:45.474 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
08:53:46.010 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001520
08:53:46.024 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001026
08:53:46.037 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001806
08:53:46.051 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001742
08:53:46.065 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001650
08:53:46.078 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001903
08:53:46.095 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001834
08:53:46.109 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001360
08:53:46.124 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001309
08:53:46.137 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001506
08:53:46.153 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001789
08:53:46.168 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001261
08:53:46.181 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001166
08:53:46.195 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001429
08:53:46.208 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001228
08:53:46.222 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001070
08:53:46.235 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001221
08:53:46.248 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001236
08:53:46.261 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001028
08:53:46.275 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001484
08:53:46.289 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001058
08:53:46.303 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001768
08:53:46.320 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001270
08:53:46.333 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001051
08:53:46.346 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001036
08:53:46.359 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001327
08:53:46.372 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001018
08:53:46.385 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001320
08:53:46.401 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001189
08:53:46.414 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001152
08:53:46.427 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001064
08:53:46.440 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001136
08:53:46.453 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001140
08:53:46.468 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001347
08:53:46.481 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001142
08:53:46.495 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001328
08:53:46.511 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001340
08:53:46.525 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001374
08:53:46.538 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001493
08:53:46.552 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001227
08:53:46.565 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001252
08:53:46.578 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001769
08:53:46.593 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001632
08:53:46.609 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.000944
08:53:46.624 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001843
08:53:46.637 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001772
08:53:46.652 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001997
08:53:46.664 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001097
08:53:46.676 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000877
08:53:46.692 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001883
08:53:46.707 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001423
08:53:46.720 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001449
08:53:46.735 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001611
08:53:46.747 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001626
08:53:46.762 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002067
08:53:46.775 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001924
08:53:46.788 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001855
08:53:46.803 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001308
08:53:46.816 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001548
08:53:46.828 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001703
08:53:46.840 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.000983
08:53:46.853 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001629
08:53:46.867 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001698
08:53:46.881 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001830
08:53:46.894 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001786
08:53:46.908 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001526
08:53:46.919 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001218
08:53:46.933 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001583
08:53:46.947 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001842
08:53:46.961 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002035
08:53:46.975 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001323
08:53:46.988 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001278
08:53:47.002 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001869
08:53:47.015 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001881
08:53:47.028 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001597
08:53:47.041 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001277
08:53:47.055 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001391
08:53:47.069 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001345
08:53:47.082 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001968
08:53:47.094 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001279
08:53:47.108 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002093
08:53:47.122 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001821
08:53:47.137 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002056
08:53:47.150 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001364
08:53:47.163 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001391
08:53:47.177 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001386
08:53:47.192 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001290
08:53:47.205 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001174
08:53:47.218 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001111
08:53:47.231 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001169
08:53:47.244 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001086
08:53:47.261 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001367
08:53:47.274 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001128
08:53:47.287 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001083
08:53:47.300 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001240
08:53:47.313 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001332
08:53:47.326 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001249
08:53:47.339 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001223
08:53:47.353 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001203
08:53:47.366 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001221
08:53:47.379 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001105
08:53:47.391 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001026
08:53:47.406 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001407
08:53:47.419 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001275
08:53:47.431 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001268
08:53:47.444 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001360
08:53:47.460 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001927
08:53:47.473 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001674
08:53:47.487 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001943
08:53:47.499 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001451
08:53:47.512 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001822
08:53:47.526 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001438
08:53:47.538 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001310
08:53:47.551 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001256
08:53:47.564 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001387
08:53:47.577 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001722
08:53:47.591 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002344
08:53:47.604 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002115
08:53:47.617 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001349
08:53:47.630 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001272
08:53:47.641 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.000861
08:53:47.655 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001480
08:53:47.669 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003171
08:53:47.682 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001404
08:53:47.696 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001585
08:53:47.710 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001258
08:53:47.723 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001513
08:53:47.736 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001382
08:53:47.748 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001241
08:53:47.761 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001129
08:53:47.773 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000858
08:53:47.786 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001711
08:53:47.802 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001366
08:53:47.816 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001821
08:53:47.828 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001346
08:53:47.844 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001758
08:53:47.857 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001309
08:53:47.871 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001814
08:53:47.884 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001777
08:53:47.899 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001771
08:53:47.912 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001401
08:53:47.927 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000982
08:53:47.940 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001378
08:53:47.953 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001036
08:53:47.966 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001835
08:53:47.980 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001684
08:53:47.995 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001753
08:53:48.008 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001526
08:53:48.022 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001808
08:53:48.036 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001412
08:53:48.049 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001996
08:53:48.061 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001005
08:53:48.075 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001699
08:53:48.089 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001739
08:53:48.103 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001701
08:53:48.117 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001518
08:53:48.128 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001101
08:53:48.141 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001352
08:53:48.155 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001339
08:53:48.170 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001836
08:53:48.185 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001249
08:53:48.201 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001710
08:53:48.215 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001282
08:53:48.230 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001566
08:53:48.244 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001453
08:53:48.257 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001181
08:53:48.271 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001727
08:53:48.285 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001223
08:53:48.298 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001134
08:53:48.311 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001201
08:53:48.324 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001399
08:53:48.337 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001154
08:53:48.350 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001736
08:53:48.364 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000993
08:53:48.377 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001206
08:53:48.389 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001032
08:53:48.403 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001104
08:53:48.419 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001605
08:53:48.433 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.000915
08:53:48.446 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001164
08:53:48.460 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001165
08:53:48.473 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001058
08:53:48.485 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001252
08:53:48.497 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001014
08:53:48.511 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001300
08:53:48.524 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001256
08:53:48.537 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001126
08:53:48.549 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001100
08:53:48.563 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001333
08:53:48.576 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001436
08:53:48.591 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001827
08:53:48.604 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001485
08:53:48.617 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001527
